Time,MCC / MNC,Cell Id,SSB NR-ARFCN​ (PCell),RSSI,PCI​ (PCell),SS-RSRP​ (PCell),SS-RSRQ​ (PCell),IP Thrpt DL,IP Thrpt UL,Network Thrpt DL,Network Thrpt UL,Test TCP frames,Test TCP bytes,Test TCP frames lost,Test TCP frames OoO,Test TCP window full,Cell ID,SS-RSRP​ (PCell),SS-RSRQ​ (PCell),SS-SINR​ (PCell),SSB NR-ARFCN / PCI​ (PCell),PCI / SSB​ (PCell),Num PDSCH Carrier,Num Slots​ (PCell),Num PUSCH Carrier,Num Slots​ (PCell),Bytes Transferred​ (PCell),Bytes Transferred​ (PCell),Sched PUSCH Thp​ (PCell),Net PUSCH Thp​ (PCell),Retransmission​ (PCell),Average TB Size​ (PCell),Num of TBs​ (PCell),Average RBs​ (PCell),Average MCS Index​ (PCell),PUSCH TxPower​ (PCell),PUSCH Pathloss,Max Num Layers,Modulation​ (PCell),Layer,MAC UL Thp,Sched PDSCH Thp​ (PCell),Net PDSCH Thp​ (PCell),BLER​ (PCell),Average TB Size​ (PCell),Num of TBs​ (PCell),Average RBs​ (PCell),Average REs,Average MCS Index​ (PCell),Average Code Rate​ (PCell),Max Num Layers,Modulation​ (PCell),Layer,Aggregation Level​ (PCell),MAC DL Thp,Max MIMO-Layers CB PUSCH,Max MIMO-Layers PDSCH,Lat,Long,Sats used,Speed o.g.,Altitude,GPS status,Last update,Accuracy,Last started test,Campaign name,Cycles,Test success rate,Date & Time,Test KPI type,Test KPI avg,Test KPI worst,Tests done,Test KPI best,Test KPI last,Intermediate KPI
2023-03-17 10:09:28.290,,,,,,,,,,,,,,,,,,-80.1,4.5,22.5,649920/50,50/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17 10:09:28.420,,,,,,,,,,,0.159,,,,,,,-80.1,4.5,22.5,649920/50,50/0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17 10:09:28.420,,,,,,,,,,,0.159,,,,,,,-80.1,4.5,22.5,649920/50,50/0,,,1,33,,10037,0.159,0.159,0.0,304.2,33,3,28.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17 10:09:28.420,,,,,,,,,,,0.159,,,,,,,-80.1,4.5,22.5,649920/50,50/0,,,1,33,,10037,0.159,0.159,0.0,304.2,33,3,28.0,8.7,,,64-QAM: 100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17 10:09:28.485,,,,,,,,,,0.006,0.159,,,,,,,-80.1,4.5,22.5,649920/50,50/0,1,,1,33,,10037,0.159,0.159,0.0,304.2,33,3,28.0,8.7,,,64-QAM: 100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17 10:09:28.485,,,,,,,,,,0.006,0.159,,,,,,,-80.1,4.5,22.5,649920/50,50/0,1,2,1,33,370,10037,0.159,0.159,0.0,304.2,33,3,28.0,8.7,,,64-QAM: 100.0,,,0.006,0.006,0.0,185.0,2,16,,0.0,11.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17 10:09:28.485,,,,,,,,,,0.006,0.159,,,,,,,-80.1,4.5,22.5,649920/50,50/0,1,2,1,33,370,10037,0.159,0.159,0.0,304.2,33,3,28.0,8.7,,,64-QAM: 100.0,,,0.006,0.006,0.0,185.0,2,16,,0.0,11.72,,QPSK: 100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17 10:09:28.485,,,,,,,,,,0.006,0.159,,,,,,,-80.1,4.5,22.5,649920/50,50/0,1,2,1,33,370,10037,0.159,0.159,0.0,304.2,33,3,28.0,8.7,,,64-QAM: 100.0,,,0.006,0.006,0.0,185.0,2,16,,0.0,11.72,,QPSK: 100.0,,LEVEL 2: 100.0,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17 10:09:28.560,,,,,,,,,,0.006,0.159,,,,,,,-80.1,4.5,22.5,649920/50,50/0,1,2,1,33,370,10037,0.159,0.159,0.0,304.2,33,3,28.0,8.7,,,64-QAM: 100.0,,0.133,0.006,0.006,0.0,185.0,2,16,,0.0,11.72,,QPSK: 100.0,,LEVEL 2: 100.0,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17 10:09:28.710,,,,,,,,,,0.002,0.159,,,,,,,-80.1,4.5,22.5,649920/50,50/0,1,2,1,33,370,10037,0.159,0.159,0.0,304.2,33,3,28.0,8.7,,,64-QAM: 100.0,,0.133,0.006,0.006,0.0,185.0,2,16,,0.0,11.72,,QPSK: 100.0,,LEVEL 2: 100.0,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17 10:09:28.710,,,,,,,,,,0.002,0.159,,,,,,,-80.1,4.5,22.5,649920/50,50/0,1,1,1,33,63,10037,0.159,0.159,0.0,304.2,33,3,28.0,8.7,,,64-QAM: 100.0,,0.133,0.002,0.002,0.0,63.0,1,16,,0.0,11.72,,QPSK: 100.0,,LEVEL 2: 100.0,,,,,,,,,,,,,,,,,,,,,,,
2023-03-17 10:09:28.725,- / -,,,,,,,,,0.002,0.159,,,,,,,-80.1,4.5,22.5,649920/50,50/0,1,1,1,33,63,10037,0.159,0.159,0.0,304.2,33,3,28.0,8.7,,,64-QAM: 100.0,,0.133,0.002,0.002,0.0,63.0,1,16,,0.0,11.72,,QPSK: 100.0,,LEVEL 2: 100.0,,,,,,,,,,,,,,,,,,,,,,,
