ID,nr,datum,schlag,objekt,objnr,beschrei,zustand,bild,bemerkun,handlung,x,y,position,gpstime,ggatime,time,kunde,bearbeit,lage,da,dks,sam,sau,geom,proc
"20001317","20001317",09.02.,,Sonstiger Punkt,"1",S42,,,,,,,"{""mode"":2,""speedKn"":""0.021"",""pdop"":""0.82"",""ght"":""43.580"",""satView"":""02"",""vdop"":""0.96"",""lon"":""13.8872022"",""oht"":""120.543"",""systime"":1675933737725,""time"":1675930137000,""hdop"":""0.50"",""lat"":""51.0035381"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""120.54343.580"",","1675930137000","1675930137000","1675933747.923917",,,,,,,,,$Format:%H$:newRecord
"20001318","20001318",09.02.,,Sonstiger Punkt,"2",N42,,,,,,,"{""mode"":2,""speedKn"":""0.009"",""pdop"":""0.83"",""ght"":""43.579"",""satView"":""03"",""vdop"":""0.97"",""lon"":""13.8878505"",""oht"":""121.333"",""systime"":1675934119416,""time"":1675930518000,""hdop"":""0.50"",""lat"":""51.0040250"",""aux"":{""source"":0,""ght"":""43.579"",""eht"":""121.33343.579"",","1675930518000","1675930518000","1675934122.789893",,,,,,,,,$Format:%H$:newRecord
"20001319","20001319",09.02.,,Sonstiger Punkt,"3",S40,,,,,,,"{""mode"":2,""speedKn"":""0.040"",""pdop"":""0.83"",""ght"":""43.580"",""satView"":""02"",""vdop"":""0.97"",""lon"":""13.8872672"",""oht"":""120.879"",""systime"":1675933811626,""time"":1675930211000,""hdop"":""0.50"",""lat"":""51.0034994"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""120.87943.580"",","1675930211000","1675930211000","1675933817.053954",,,,,,,,,$Format:%H$:newRecord
"20001320","20001320",09.02.,,Sonstiger Punkt,"4",S39,,,,,,,"{""mode"":2,""speedKn"":""0.069"",""pdop"":""0.83"",""ght"":""43.580"",""satView"":""03"",""vdop"":""0.97"",""lon"":""13.8873051"",""oht"":""120.858"",""systime"":1675933860504,""time"":1675930259000,""hdop"":""0.50"",""lat"":""51.0034813"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""120.85843.580"",","1675930259000","1675930259000","1675933865.616239",,,,,,,,,$Format:%H$:newRecord
"20001321","20001321",09.02.,,Sonstiger Punkt,"5",S38,,,,,,,"{""mode"":2,""speedKn"":""0.031"",""pdop"":""0.83"",""ght"":""43.580"",""satView"":""03"",""vdop"":""0.97"",""lon"":""13.8873392"",""oht"":""121.016"",""systime"":1675933887304,""time"":1675930286000,""hdop"":""0.50"",""lat"":""51.0034620"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""121.01643.580"",","1675930286000","1675930286000","1675933892.93813",,,,,,,,,$Format:%H$:newRecord
"20001322","20001322",09.02.,,Sonstiger Punkt,"6",S37,,,,,,,"{""mode"":2,""speedKn"":""0.004"",""pdop"":""0.83"",""ght"":""43.580"",""satView"":""03"",""vdop"":""0.97"",""lon"":""13.8873736"",""oht"":""121.667"",""systime"":1675933919917,""time"":1675930319000,""hdop"":""0.50"",""lat"":""51.0034435"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""121.66743.580"",","1675930319000","1675930319000","1675933925.030681",,,,,,,,,$Format:%H$:newRecord
"20001323","20001323",09.02.,,Sonstiger Punkt,"7",S36,,,,,,,"{""mode"":2,""speedKn"":""0.005"",""pdop"":""0.83"",""ght"":""43.580"",""satView"":""03"",""vdop"":""0.97"",""lon"":""13.8874083"",""oht"":""121.074"",""systime"":1675933942798,""time"":1675930342000,""hdop"":""0.50"",""lat"":""51.0034284"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""121.07443.580"",","1675930342000","1675930342000","1675933947.764951",,,,,,,,,$Format:%H$:newRecord
"20001324","20001324",09.02.,,Sonstiger Punkt,"8",N41,,,,,,,"{""mode"":2,""speedKn"":""0.015"",""pdop"":""0.83"",""ght"":""43.579"",""satView"":""03"",""vdop"":""0.97"",""lon"":""13.8878820"",""oht"":""121.069"",""systime"":1675934174589,""time"":1675930574000,""hdop"":""0.50"",""lat"":""51.0040083"",""aux"":{""source"":0,""ght"":""43.579"",""eht"":""121.06943.579"",","1675930574000","1675930574000","1675934180.319713",,,,,,,,,$Format:%H$:newRecord
"20001325","20001325",09.02.,,Sonstiger Punkt,"9",N40,,,,,,,"{""mode"":2,""speedKn"":""0.028"",""pdop"":""0.83"",""ght"":""43.579"",""satView"":""03"",""vdop"":""0.97"",""lon"":""13.8879165"",""oht"":""120.480"",""systime"":1675934201596,""time"":1675930601000,""hdop"":""0.50"",""lat"":""51.0039891"",""aux"":{""source"":0,""ght"":""43.579"",""eht"":""120.48043.579"",","1675930601000","1675930601000","1675934206.900604",,,,,,,,,$Format:%H$:newRecord
"20001326","20001326",09.02.,,Sonstiger Punkt,"10",N39,,,,,,,"{""mode"":2,""speedKn"":""0.013"",""pdop"":""0.85"",""ght"":""43.579"",""satView"":""03"",""vdop"":""0.99"",""lon"":""13.8879516"",""oht"":""120.487"",""systime"":1675934226861,""time"":1675930626000,""hdop"":""0.50"",""lat"":""51.0039717"",""aux"":{""source"":0,""ght"":""43.579"",""eht"":""120.48743.579"",","1675930626000","1675930626000","1675934237.54412",,,,,,,,,$Format:%H$:newRecord
